,solver,instance,vertices,edges,propagating_vertices,omega,variables,constraints,run,lower_bound,upper_bound,gap,result,nodes,t_solver,callbacks,t_callback,lazy_constraints
0,efpss-outp-init-cuts1m100f,../inputs/case9241pegase.graphml,9241,14207,2902,32,17354,23205,0,2010.0,2010,0.0,Optimal,210,2999241,14,20458,10
1,efpss-outp-init-cuts5m100f,../inputs/case9241pegase.graphml,9241,14207,2902,7,22185,23619,2,2014.0,2014,0.0,Optimal,1796,10951805,16,29580,10
2,efpss-inp-outp,../inputs/case89pegase.graphml,89,206,43,7,430,223,4,13.0,13,0.0,Optimal,1,7798,5,176,3
3,efpss-inp-outp-init,../inputs/case9241pegase.graphml,9241,14207,2902,28,17627,28042,4,2010.0,2010,0.0,Optimal,1,1670319,21,28689,9
4,efpss-outp-init-cuts1m1000f,../inputs/case_Texas.graphml,2000,2667,376,7,4133,6816,3,432.0,432,0.0,Optimal,3971,8276279,13,4450,3
5,efpss-outp-init-cuts5m100f,../inputs/case2736sp.graphml,2736,3265,645,5,5187,6346,4,684.0,684,0.0,Optimal,168,781089,9,4104,1
6,efpss-inp-outp,../inputs/case2746wp.graphml,2746,3274,704,2,7969,5700,4,775.0,775,0.0,Optimal,1710,5793572,32,25305,115
7,efpss-outp-init1,../inputs/case_Western.graphml,10024,12241,4106,6,24975,17896,1,1849.0,1849,0.0,Optimal,2153,63204671,17,42520,18
8,efpss-outp-init1,../inputs/case6ww.graphml,6,11,1,0,31,13,2,5.0,5,0.0,Optimal,1,2448,2,26,0
9,efpss-outp-init-cuts1m100f,../inputs/case89pegase.graphml,89,206,43,5,468,376,2,14.0,14,0.0,Optimal,1,14645,5,140,0
10,efpss-outp-init-cuts5m100f,../inputs/case6515rte.graphml,6515,8104,2344,0,30149,29686,4,4281.0,4281,0.0,Optimal,2361,7431210,30,73690,113
11,efpss-outp-init1,../inputs/case_Western.graphml,10024,12241,4106,14,23753,17748,1,1825.0,1825,0.0,Optimal,1847,18232913,17,37445,9
12,efpss-outp-init-cuts5m1000f,../inputs/case6470rte.graphml,6470,8066,2352,2,23615,25124,2,1901.0,1902,0.0005257623554153522,Timeout,279623,900410442,32,66562,17
13,efpss-inp-outp,../inputs/case3375wp.graphml,3374,4068,889,6,6510,6122,4,818.0,818,0.0,Optimal,2997,2959170,19,13225,66
14,efpss-outp-init-cuts5m1000f,../inputs/case9241pegase.graphml,9241,14207,2902,32,17354,23205,4,2010.0,2010,0.0,Optimal,302,3268995,11,18253,7
15,efpss-outp-init-cuts5m1000f,../inputs/case_Texas.graphml,2000,2667,376,2,7359,7712,2,647.0,647,0.0,Optimal,2129,12400423,34,21904,12
16,efpss-outp-init1,../inputs/case5.graphml,5,6,0,0,17,10,4,5.0,5,0.0,Optimal,0,324,1,1,0
17,efpss-outp-init-cuts5m100f,../inputs/case_Western.graphml,10024,12241,4106,5,26049,38516,4,1872.0,1873,0.0005339028296849973,Timeout,127389,900503410,27,65396,7
18,efpss-outp-init-cuts1m1000f,../inputs/case9241pegase.graphml,9241,14207,2902,5,25568,24149,1,2038.0,2038,0.0,Optimal,1617,17853235,23,45277,13
19,efpss-outp-init-cuts5m100f,../inputs/case13659pegase.graphml,13659,18625,4024,16,28282,43012,0,2746.0,2746,0.0,Optimal,1,2085137,11,25191,4
20,efpss-inp,../inputs/case6495rte.graphml,6495,8084,2344,10,14354,10935,3,1314.0,1314,0.0,Optimal,1855,4467977,36,63193,2387
21,efpss-outp-init-cuts1m1000f,../inputs/case6515rte.graphml,6515,8104,2344,0,30149,29686,2,4281.0,4281,0.0,Optimal,2332,5439326,33,101261,178
22,efpss-outp-init1,../inputs/case_GB2224.graphml,2224,2804,1367,7,6852,5098,4,326.0,326,0.0,Optimal,1547,3264805,29,16059,107
23,efpss-inp,../inputs/case_iceland118.graphml,189,203,110,6,501,350,2,39.0,39,0.0,Optimal,1,26301,15,1129,97
24,efpss-inp-outp-init,../inputs/case13659pegase.graphml,13659,18625,4024,14,28717,50859,1,2760.0,2760,0.0,Optimal,1,2377098,12,25637,4
25,efpss-outp,../inputs/case6515rte.graphml,6515,8104,2344,1,28016,13241,0,2973.0,2973,0.0,Optimal,1715,7454291,26,64474,277
26,efpss-outp-init,../inputs/case300.graphml,300,409,66,11,506,673,3,72.0,72,0.0,Optimal,1,7200,2,137,0
27,efpss-outp-init-cuts1m100f,../inputs/case2869pegase.graphml,2869,3968,869,15,5397,8010,0,612.0,612,0.0,Optimal,1,160356,7,2613,0
28,efpss-outp-init-cuts5m100f,../inputs/case5.graphml,5,6,0,0,17,10,1,5.0,5,0.0,Optimal,0,288,1,1,0
29,efpss-outp-init-cuts1m100f,../inputs/case_Western.graphml,10024,12241,4106,4,28189,38944,3,1928.0,1932,0.002070393374741201,Timeout,104528,901035581,25,70833,15
30,efpss-outp-init-cuts5m1000f,../inputs/case_iceland118.graphml,189,203,110,3,598,765,3,44.0,44,0.0,Optimal,1,21548,2,176,0
31,efpss-outp-init1,../inputs/case1888rte.graphml,1888,2308,681,1,7916,4275,0,864.0,864,0.0,Optimal,1,206595,14,7611,16
32,efpss-inp-outp,../inputs/case2746wp.graphml,2746,3274,704,9,4757,4868,4,684.0,684,0.0,Optimal,1,158958,11,5143,32
33,efpss-outp,../inputs/case145.graphml,145,422,71,2,1220,318,3,35.0,35,0.0,Optimal,1764,350909,29,3047,61
34,efpss-outp-init-cuts5m100f,../inputs/case2737sop.graphml,2737,3266,655,1,10700,8544,2,1204.0,1204,0.0,Optimal,1,599971,5,4107,0
35,efpss-outp,../inputs/case2869pegase.graphml,2869,3968,869,7,6285,3829,4,616.0,616,0.0,Optimal,1,369254,18,9792,67
36,efpss-outp-init-cuts5m1000f,../inputs/case6495rte.graphml,6495,8084,2344,12,14008,23056,4,1314.0,1314,0.0,Optimal,1,1013712,12,16921,11
37,efpss-inp-outp-init,../inputs/case1951rte.graphml,1951,2375,651,5,5330,8246,0,417.0,417,0.0,Optimal,1414,1376078,14,5580,3
38,efpss-outp-init1,../inputs/case2383wp.graphml,2383,2886,552,9,4089,3262,4,594.0,594,0.0,Optimal,1,104261,7,3096,4
39,efpss-outp,../inputs/case2869pegase.graphml,2869,3968,869,7,6285,3829,0,616.0,616,0.0,Optimal,1,439257,18,9307,66
40,efpss-outp-init-cuts1m100f,../inputs/case1354pegase.graphml,1354,1710,422,10,2567,3783,4,311.0,311,0.0,Optimal,1,46853,4,734,0
41,efpss-outp-init-cuts1m100f,../inputs/case2746wp.graphml,2746,3274,704,1,10813,8607,2,1194.0,1194,0.0,Optimal,1,299670,5,3689,0
42,efpss-outp-init-cuts5m1000f,../inputs/case6468rte.graphml,6468,8065,2384,12,13995,22961,3,1291.0,1291,0.0,Optimal,1,442663,10,14214,6
43,efpss-outp-init-cuts1m1000f,../inputs/case3375wp.graphml,3374,4068,889,2,10227,9614,3,948.0,948,0.0,Optimal,481699,829450512,25,22550,18
44,efpss-outp-init-cuts5m1000f,../inputs/case_Texas.graphml,2000,2667,376,6,4231,6830,2,444.0,444,0.0,Optimal,3399,7205807,14,5248,5
45,efpss-outp-init-cuts5m1000f,../inputs/case_iceland118.graphml,189,203,110,3,598,765,0,44.0,44,0.0,Optimal,1,23534,2,132,0
